Date,Origin,Dest,Depart,Arrive,Hobbs,Flight Time,Flight Distance,Fuel,Fuel/hr,Fuel/nm,Altitude,Speed
"Sun, Mar 13, 2016",KLEE,KGWW,10:59,14:36,2.54 hrs,2.25 hrs,460.18 nm,62.12 gal,24.44 gal/hr,0.13 gal/nm,11007 msl,198 kts
"Sun, Mar 13, 2016",KLEE,KLEE,10:45,10:46,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Fri, Mar 11, 2016",KGNV,KLEE,16:37,17:17,0.63 hrs,0.41 hrs,62.16 nm,9.25 gal,14.71 gal/hr,0.15 gal/nm,3019 msl,141 kts
"Fri, Mar 11, 2016",KGWW,KGNV,10:35,13:22,2.64 hrs,2.44 hrs,433.19 nm,48.90 gal,18.52 gal/hr,0.11 gal/nm,10020 msl,168 kts
"Fri, Mar 11, 2016",KBED,KGWW,06:41,10:16,3.43 hrs,3.07 hrs,543.77 nm,58.07 gal,16.91 gal/hr,0.11 gal/nm,6058 msl,170 kts
"Fri, Mar 11, 2016",,,06:14,06:14,0.02 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Sun, Mar 6, 2016",KBED,KBED,15:31,15:33,0.05 hrs,0.00 hrs,0.00 nm,0.13 gal,2.75 gal/hr,0.00 gal/nm,0 msl,0 kts
"Sun, Mar 6, 2016",KALB,KBED,14:23,15:20,0.89 hrs,0.71 hrs,117.90 nm,13.57 gal,15.33 gal/hr,0.12 gal/nm,7017 msl,157 kts
"Sun, Mar 6, 2016",KALB,KALB,14:19,14:20,0.03 hrs,0.00 hrs,0.00 nm,0.05 gal,1.89 gal/hr,0.00 gal/nm,0 msl,0 kts
"Sun, Mar 6, 2016",KBED,KALB,13:00,13:58,0.94 hrs,0.71 hrs,114.52 nm,13.93 gal,14.82 gal/hr,0.12 gal/nm,6685 msl,155 kts
"Sat, Mar 5, 2016",KRUT,KBED,17:06,18:42,1.52 hrs,1.29 hrs,222.30 nm,25.22 gal,16.61 gal/hr,0.11 gal/nm,5513 msl,163 kts
"Sat, Mar 5, 2016",KBED,KRUT,15:46,16:49,1 hrs,0.64 hrs,101.56 nm,13.05 gal,13.05 gal/hr,0.13 gal/nm,4512 msl,151 kts
"Sat, Mar 5, 2016",,,15:33,15:33,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Fri, Mar 4, 2016",KBED,KBED,14:59,15:01,0.04 hrs,0.00 hrs,0.00 nm,0.09 gal,2.55 gal/hr,0.00 gal/nm,0 msl,0 kts
"Fri, Mar 4, 2016",,,14:00,14:01,0.02 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Fri, Mar 4, 2016",KBED,KBED,11:11,11:17,0.12 hrs,0.00 hrs,0.00 nm,0.44 gal,3.79 gal/hr,0.00 gal/nm,0 msl,0 kts
"Thu, Mar 3, 2016",,,08:50,08:54,0.07 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Wed, Mar 2, 2016",KFRG,KBED,19:44,21:08,1.36 hrs,1.03 hrs,158.49 nm,18.01 gal,13.28 gal/hr,0.11 gal/nm,7019 msl,148 kts
"Wed, Mar 2, 2016",,,19:38,19:38,0 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Tue, Mar 1, 2016",KBED,KFRG,08:40,10:02,1.3 hrs,0.98 hrs,147.73 nm,17.38 gal,13.33 gal/hr,0.12 gal/nm,6065 msl,145 kts
"Tue, Mar 1, 2016",,,08:22,08:22,0 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Sun, Feb 28, 2016",KBED,KBED,14:41,16:09,1.39 hrs,1.04 hrs,165.66 nm,17.56 gal,12.60 gal/hr,0.11 gal/nm,3254 msl,152 kts
